District,Property,PropTag,Area_km2,TenureCode,NT_Por,UTM_Zone,Orient,Scale,Inspected,YearInsp,PrevYear1,PrevYear2,Officer1,Officer2,MapUpdated,Buff_km
VRD,CATTLE CREEK,CTC,"7,085",PPL 1003,NT Por 2654,52,Portrait,"147,000",6/22/2020,2020,2015,0,D. Hooper,E. Kippers,1/30/2019,5
Darwin,CLARAVALE,CLV,613,PPL 1214,NT Por 1169,52,Portrait,"44,000",8/18/2017,2017,2008,0,B. Lynes,J. Targett,5/26/2021,10
Northern Alice Springs,CONISTON,CST,"2,170",PPL 1096,NT Por 690,53,Landscape,,10/17/2016,2016,2007,0,M. Humphrys,C. Wallace,11/30/2016,10
Roper,CONWAY,CNW,"1,392",PPL 1187,NT Por 6517,53,Landscape,,6/28/2017,2017,2011,0,B. Lynes,J. Targett,10/19/2020,10
Sturt Plateau,COW CREEK,CWC,444,PL 1172,NT Por 4966,53,Portrait,,9/26/2018,2018,2010,0,J. Targett,S. Washusen,6/30/2017,5
Barkly,CRESSWELL DOWNS,CRW,"6,458",PPL 1014,NT Por 5154 & 1163,53,Landscape,,5/28/2016,2016,2013,0,B. Lynes,J. Targett,12/12/2017,3
Southern Alice Springs,CURTIN SPRINGS,CTS,"4,152",PPL 1092,NT Por 326,52,Portrait,"110,000",5/24/2016,2016,2013,0,C. Wallace,G. Bastin,8/15/2016,10
Barkly,DALMORE DOWNS,DLD,"4,776",PPL 988,NT Por 773,53,Landscape,,6/3/2017,2017,2007,0,A. Scott,H. Brink,3/2/2018,10
Southern Alice Springs,DEEP WELL,DWL,"1,618",PPL 966,NT Por 415,53,Portrait,,6/15/2018,2018,2015,0,L. Tait,H. Brink,10/31/2019,5
VRD,DELAMERE,DLM,"3,002",PPL 1121,"NT Por 4009, 578 & 3985",52,Landscape,,9/18/2017,2017,2008,0,D. Hooper,B. Sauer,8/20/2019,5
Northern Alice Springs,DELMORE DOWNS,DMD,382,PPL 1126,NT Por 714,53,Landscape,,6/28/2019,2019,2014,0,D. Mitchell,H. Brink,3/2/2018,3
Northern Alice Springs,DELNY,DLY,833,PPL 1127,NT Por 756,53,Portrait,,6/28/2019,2019,2014,0,D. Mitchell,H. Brink,10/4/2018,5
Plenty,DERRY DOWNS,DRD,"4,290",PPL 1107,NT Por 1289 & 757,53,Portrait,,9/12/2017,2017,2009,0,L. Tait,C. Wallace,10/19/2016,3
Northern Alice Springs,DERWENT,DWT,"1,659",PPL 1054,NT Por 241,53,Portrait,,6/13/2019,2019,2016,0,C. Wallace,R. Bista,5/17/2019,10
Katherine,DIXIE,DXE,462,PPL 1207,NT Por 7062,52,Portrait,,8/19/2019,2019,2014,0,D. Hooper,E. Kippers,9/7/2017,10
Northern Alice Springs,DNEIPER,DNR,884,PPL 1125,NT Por 742,53,Portrait,,8/17/2018,2018,2014,0,H. Brink,R. Bista,10/19/2016,5
Darwin,DORISVALE,DVL,675,PPL 1066,NT Por 1167,52,Portrait,"52,000",8/14/2017,2017,2008,0,B. Lynes,J. Targett,10/19/2016,3
Darwin,DOUGLAS,DGL,985,PPL 1217,NT Por 7122,52,Landscape,,8/7/2016,2016,2010,0,J. Emberg,J. Targett,6/29/2018,10
Darwin,DOUGLAS SOUTH,DGS,555,PL 1219,NT Por 7123,52,Landscape,,8/11/2016,2016,2010,0,J. Emberg,J. Targett,10/10/2019,3
Darwin,DOUGLAS WEST,DGW,427,PL 1218,NT Por 7121,52,Portrait,"39,000",8/9/2016,2016,2010,0,J. Emberg,J. Targett,10/10/2019,5
Sturt Plateau,DRY RIVER,DYR,667,PPL 1198,NT Por 3988 & 2977,53,Portrait,,8/21/2019,2019,2014,0,D. Hooper,E. Kippers,5/13/2021,5
Sturt Plateau,DUNGOWAN,DGN,"4,454",PPL 1076,NT Por 850 & 2144,53,Portrait,,4/8/2019,2019,2014,0,D. Hooper,J. Targett,10/5/2017,10
Barkly,EAST RANKEN,ERK,"1,447",PPL 915,"NT Por 3, 5159, 7501, 7502 & 7499",53,Portrait,,7/18/2017,2017,2009,0,A. Scott,H. Brink,12/4/2018,3
Darwin,ELIZABETH DOWNS,ELD,"2,054",PPL 1005,NT Por 1666,52,Portrait,"100,000",10/5/2015,2020,2015,0,S. Washusen,J. Targett,9/18/2018,10
Tennant Creek,ELKEDRA,EKD,"5,406",PPL 1000,NT Por 3431,53,Landscape,,8/1/2016,2016,2008,0,C. Wallace,M. Humphrys,9/15/2020,5
Tennant Creek,EPENARRA,EPN,"2,658",PPL 1026,NT Por 4030,53,Landscape,,8/19/2020,2020,2015,0,D. Mitchell,H. Brink,11/30/2018,10
Southern Alice Springs,ERLDUNDA,EDA,"2,930",PPL 1031,NT Por 3351,53,Portrait,,6/29/2018,2018,2013,0,H. Brink,L. Tait,5/3/2017,10
Barkly,EVA DOWNS,EVD,"2,852",PPL 1017,NT Por 244 & 7506,53,Portrait,,5/20/2018,2018,2013,0,J. Targett,S. Washusen,9/6/2017,5
Katherine,FLORINA,FLR,575,PPL 1220,NT Por 1166,52,Portrait,"38,000",9/10/2018,2018,2013,0,B. Sauer,D. Hooper,1/13/2020,3
Roper,FLYING FOX,FYF,895,PPL 1179,NT Por 4775,53,Portrait,,7/24/2017,2017,2011,0,B. Lynes,J. Targett,5/9/2019,5
Sturt Plateau,FORREST HILL,FOH,541,PPL 1190,"NT Por 6366, 5145 & 7493",53,Portrait,,7/15/2019,2019,2014,0,J. Targett,S. Washusen,6/27/2017,10
Barkly,GEORGINA DOWNS,GGD,"3,470",PPL 953,NT Por 281,53,Landscape,,5/13/2017,2017,2009,0,C. Wallace,H. Brink,9/13/2017,3
Sturt Plateau,GILNOCKIE,GNK,705,PPL 1193,NT Por 5805,53,Portrait,,10/8/2018,2018,2014,0,D. Hooper,S. Washusen,8/22/2019,10
Northern Alice Springs,GLEN HELEN,GHN,"1,409",PPL 1128,NT Por 719,53,Portrait,,6/27/2019,2019,2016,0,C. Wallace,R. Bista,8/24/2016,4
Roper,GOONDOOLOO,GDL,902,PPL 1068,NT Por 1287,53,Portrait,,1/30/2017,2017,2011,0,J. Targett,A. Scott,1/31/2017,5
Sturt Plateau,GORRIE,GRW,701,PPL 1173,NT Por 4965,53,Landscape,,8/8/2017,2017,2011,0,D. Hooper,E. Kippers,9/24/2020,5
Gulf,GREENBANK,GBK,"1,126",PL 684,NT Por 811,53,Portrait,,6/23/2016,2016,2011,0,B. Lynes,J. Targett,8/21/2019,10
Northern Alice Springs,HAMILTON DOWNS,HMD,"2,087",PPL 1145,"NT Por 4423, 7557",53,Landscape,,4/5/2019,2019,2015,0,D. Mitchell,H. Brink,9/18/2018,10
Sturt Plateau,HAYFIELD,HFD,"1,776",PPL 1135,"NT Por 342, 4272, 833, 1077, 7513 & 7504",53,Portrait,"70,000",7/24/2020,2020,2015,0,D. Hooper,E. Kippers,9/29/2016,10
Barkly,HELEN SPRINGS,HLS,"5,062",PPL 1001,NT Por 1512,53,Landscape,,6/11/2018,2018,2013,0,D. Hooper,R. Eastick,8/4/2017,5
Southern Alice Springs,HENBURY,HBY,"5,218",PPL 1094,"NT Por 657, 7529, 7530 & 7531",53,Landscape,,8/3/2018,2018,2013,0,C. Wallace,L. Tait,9/11/2018,10
Sturt Plateau,HIDDEN VALLEY,HDV,"2,802",PL 936,NT Por 2724,53,Landscape,,8/1/2017,2017,2011,0,D. Hooper,E. Kippers,1/22/2020,5
Gulf,HODGSON RIVER,HDR,"1,110",PPL 1010,NT Por 700,53,Landscape,,8/12/2019,2019,2014,0,J. Targett,S. Washusen,10/29/2019,10
Southern Alice Springs,HORSESHOE BEND,HSB,"6,030",PPL 1070,"NT Por 659, 855 & 1085",53,Portrait,,9/10/2016,2016,2008,0,L. Tait,A. Scott,9/2/2019,10
Plenty,HUCKITTA,HKT,"1,696",PPL 990,NT Por 2454,53,Portrait,,8/2/2019,2019,2014,0,C. Wallace,D. Mitchell,11/27/2019,10
